ID,name,address,city,zipcode,latitude,longitude,review_count,rating,zomato_id,yelp_id
b779,Austin Pizza Garden,6266 W US Highway 290$*$ Austin$*$ TX 78735,Austin,78735,30.23575556,-97.85891667,402,4.1,16912012,0
b780,Mighty Fine Burgers,5601 Brodie Lane$*$ Suite 1300$*$ Austin$*$ TX 78745,Austin,78745,30.22725556,-97.82102222,389,4.1,16915455,0
b781,Cabo Bob's Burritos,500 E Ben White Boulevard$*$ Suite D 100$*$ Austin$*$ TX 78704,Austin,78704,30.22096111,-97.75694167,339,4.1,16915435,0
b782,Rudy's Country Store and Bar-B-Q,7709 FM 620 N$*$ Austin$*$ TX 78726,Austin,78726,30.4539081,-97.8276552,312,4.1,16913758,0
b783,Muangthai Thai Cuisine,13945 US Hwy 183$*$ Suite C 80$*$ Austin$*$ TX 78717,Austin,78717,30.47206944,-97.79710278,287,4.1,16915545,0
b784,Opie's Barbecue,9504 State Hwy 71 E$*$ Austin$*$ TX 78669,Austin,78669,30.462066,-98.160095,224,4.1,16915415,0
b785,Yanagi Restaurant & Sushi Bar,4404 W William Cannon Drive$*$ Suite B$*$ Austin$*$ TX 78749,Austin,78749,30.22360278,-97.83971389,269,4.1,16915626,0
b786,Mangieri's Pizza Cafe,5900 W Slaughter Lane$*$ Suite 460$*$ Austin$*$ TX 78749,Austin,78749,30.20108333,-97.87898333,362,4.1,16913243,0
b787,Java Noodles,2400 E Oltorf Street$*$ Suite 14$*$ Austin$*$ TX 78741,Austin,78741,30.22927778,-97.72946944,297,4.1,16912967,0
b788,Frank,407 Colorado Street$*$ Austin$*$ TX 78701,Austin,78701,30.266906,-97.744299,500,4,16915648,0
b789,Lamberts Downtown Barbecue,401 W 2nd Street$*$ Austin$*$ TX 78701,Austin,78701,30.26526944,-97.74775833,808,4,16913120,0
b790,Juan In A Million,2300 E Cesar Chavez Street$*$ Austin$*$ TX 78702,Austin,78702,30.25531389,-97.71903333,798,4,16913004,0
b791,La Barbecue,1906 E Cesar Chavez Street$*$ Austin$*$ TX 78702,Austin,78702,30.257141,-97.723919,266,4,16917140,0
b792,Z' Tejas Southwestern Grill,9400 A Arboretum Boulevard$*$ Austin$*$ TX 78759,Austin,78759,30.38956667,-97.75280833,771,4,17952225,0
b793,Matt's El Rancho,2613 S Lamar Boulevard$*$ Austin$*$ TX 78704,Austin,78704,30.24548611,-97.77940278,773,4,16913279,0
b794,North By Northwest Restaurant and Brewery,10010 N Capital of Texas Hwy$*$ Austin$*$ TX 78759,Austin,78759,30.391185,-97.738341,643,4,17952229,0
b795,North Italia,11506 Century Oaks Terrace$*$ Suite 124$*$ Austin$*$ TX 78758,Austin,78758,30.402125,-97.7257,596,4,16914407,0
b796,Eddie V's Prime Seafood,9400 B Arboretum Boulevard$*$ Austin$*$ TX 78759,Austin,78759,30.389393,-97.752657,621,4,16912574,0
b797,Curra's Grill,614 E Oltorf Street$*$ TX 78704,Austin,78704,30.23689722,-97.74931389,581,4,16912454,0
b798,Max's Wine Dive,207 San Jacinto Boulevard$*$ Suite 200$*$ TX 78701,Austin,78701,30.26442778,-97.74146944,395,4,16915575,0
b799,Z' Tejas Southwestern Grill,1110 W 6th Street$*$ Austin$*$ TX 78703,Austin,78703,30.2724566,-97.7557666,472,4,16914382,0
b800,Taverna,258 W 2nd Street$*$ Austin$*$ TX 78701,Austin,78701,30.26510556,-97.74661944,460,4,16914116,0
b801,Siam Cafe,5500 San Mateo Boulevard NE$*$ Suite 101$*$ NM 87109,Albuquerque,87109,35.142466,-106.586214,718,4.9,17253703,0
b802,San Pedro Mart Middle East Grocery & Alquds,4001 San Pedro NE$*$ Albuquerque$*$ NM 87110,Albuquerque,87110,35.129862,-106.577767,642,4.8,17254409,0
b803,El Modelo Mexican Foods,1715 2nd St SW$*$ Albuquerque$*$ NM 87102,Albuquerque,87102,35.069408,-106.652415,707,4.7,17253035,0
b804,Thai Vegan,5505 Osuna Rd NE$*$ Albuquerque$*$ NM 87109,Albuquerque,87109,35.145041,-106.585335,607,4.6,17254496,0
b805,P'tit Louis Bistro,3218 Silver Ave Southeast$*$ Albuquerque$*$ NM 87106,Albuquerque,87106,35.078936,-106.608654,613,4.6,17254693,0
b806,Viet Taste,5721 Menaul Blvd NE$*$ Albuquerque$*$ NM 87110,Albuquerque,87110,35.109166,-106.580163,894,4.5,17253881,0
b807,Magokoro Japanese,5614 Menaul Boulevard Northeast$*$ Albuquerque$*$ NM 87110,Albuquerque,87110,35.109028,-106.581263,540,4.5,17253285,0
b808,Thai Tip,1512 Wyoming Blvd NE$*$ Albuquerque$*$ NM 87112,Albuquerque,87112,35.096128,-106.550491,692,4.5,17253827,0
b809,Banh Mi Coda,230 Louisiana Boulevard SE$*$ Suite C$*$ Albuquerque$*$ NM 87108,Albuquerque,87108,35.074442,-106.568434,386,4.5,17254607,0
b810,Grove Caf & Market,600 Central Avenue SE$*$ Albuquerque$*$ NM 87102,Albuquerque,87102,35.082802,-106.640465,963,4.4,17253162,0
b811,Il Vicino,3403 Central Ave NE$*$ Albuquerque$*$ NM 87106,Albuquerque,87106,35.080248,-106.606843,1028,4.4,17253212,0
b812,Sakura Sushi Thai & Laos Cuisine,4200 Wyoming Blvd NE Ste C-2$*$ Albuquerque$*$ NM 87111,Albuquerque,87111,35.128404,-106.550756,455,4.4,17254054,0
